,subject_id,components
0,sub-01_ses-02,"[]"
1,sub-01_ses-03,"[3,6,9]"
2,sub-01_ses-04,"[5,6,8]"
3,sub-01_ses-05,"[2,7,8]"
4,sub-02_ses-01,"[]"
5,sub-02_ses-02,"[6,9]"
6,sub-02_ses-03,"[9]"
7,sub-02_ses-04,"[3,8,10]"
8,sub-02_ses-05,"[0,9]"
9,sub-02_ses-06,"[3,6]"
10,sub-03_ses-01,"[5,6]"
11,sub-03_ses-02,"[0]"
12,sub-03_ses-03,"[0,9,16,17]"
13,sub-03_ses-04,"[]"
14,sub-03_ses-05,"[0,10,11,13]"
15,sub-03_ses-06,"[9]"
16,sub-04_ses-01,"[]"
17,sub-04_ses-02,"[11,12]"
18,sub-04_ses-03,"[8]"
19,sub-05_ses-01,"[8]"
20,sub-05_ses-02,"[]"
21,sub-05_ses-03,"[]"
22,sub-06_ses-01,"[]"
23,sub-07_ses-01,"[]"
24,sub-09_ses-01,"[]"
25,sub-09_ses-02,"[3]"
26,sub-09_ses-03,"[]"
27,sub-09_ses-04,"[]"
28,sub-11_ses-01,"[2,4]"
29,sub-11_ses-02,"[1,3]"
30,sub-11_ses-03,"[7,9]"
31,sub-12_ses-01,"[]"
32,sub-12_ses-02,"[2]"
33,sub-12_ses-03,"[11,12]"
34,sub-13_ses-01,"[]"
35,sub-13_ses-02,"[1]"
36,sub-13_ses-03,"[3]"
37,sub-14_ses-01,"[]"
38,sub-14_ses-02,"[]"
39,sub-14_ses-03,"[11,12]"
40,sub-15_ses-01,"[5]"
41,sub-15_ses-02,"[0,8,9]"
42,sub-15_ses-03,"[7,8,9,10,12]"
43,sub-17_ses-01,"[]"
44,sub-17_ses-02,"[6,7,8]"
45,sub-17_ses-03,"[]"
46,sub-18_ses-01,"[0]"
47,sub-18_ses-02,"[4]"
48,sub-18_ses-03,"[9,10]"
49,sub-19_ses-02,"[0,2]"
50,sub-19_ses-03,"[]"
51,sub-20_ses-01,"[]"
52,sub-20_ses-02,"[1,2]"
53,sub-20_ses-03,"[6,11]"
54,sub-21_ses-01,"[0,1]"
55,sub-21_ses-02,"[7,10,11]"
56,sub-21_ses-03,"[0,1]"
57,sub-22_ses-01,"[]"
58,sub-22_ses-02,"[]"
59,sub-22_ses-03,"[]"
60,sub-22_ses-04,"[0]"
61,sub-23_ses-01,"[10,11]"
62,sub-23_ses-02,"[8,11]"
63,sub-23_ses-03,"[0]"
64,sub-24_ses-01,"[1,6,7]"
65,sub-24_ses-02,"[]"
66,sub-24_ses-03,"[]"
67,sub-25_ses-01,"[0]"
68,sub-25_ses-02,"[]"
69,sub-25_ses-03,"[0,1]"
