old_id,subject_id,subject,session
TD1v2,sub-01_ses-02,1,2
TD1v3,sub-01_ses-03,1,3
TD1v4,sub-01_ses-04,1,4
TD1v5,sub-01_ses-05,1,5
TD2v1,sub-02_ses-01,2,1
TD2v2,sub-02_ses-02,2,2
TD2v3,sub-02_ses-03,2,3
TD2v4,sub-02_ses-04,2,4
TD2v5,sub-02_ses-05,2,5
TD2v6,sub-02_ses-06,2,6
TD3v1,sub-03_ses-01,3,1
TD3v2,sub-03_ses-02,3,2
TD3v3,sub-03_ses-03,3,3
TD3v4,sub-03_ses-04,3,4
TD3v5,sub-03_ses-05,3,5
TD3v6,sub-03_ses-06,3,6
TD4v1,sub-04_ses-01,4,1
TD4v2,sub-04_ses-02,4,2
TD4v3,sub-04_ses-03,4,3
TD5v1,sub-05_ses-01,5,1
TD5v2,sub-05_ses-02,5,2
TD5v3,sub-05_ses-03,5,3
TD6v1,sub-06_ses-01,6,1
TD7v1,sub-07_ses-01,7,1
TD9v1,sub-09_ses-01,9,1
TD9v2,sub-09_ses-02,9,2
TD9v3,sub-09_ses-03,9,3
TD9v4,sub-09_ses-04,9,4
TD11v1,sub-11_ses-01,11,1
TD11v2,sub-11_ses-02,11,2
TD11v3,sub-11_ses-03,11,3
TD12v1,sub-12_ses-01,12,1
TD12v2,sub-12_ses-02,12,2
TD12v3,sub-12_ses-03,12,3
TD13v1,sub-13_ses-01,13,1
TD13v2,sub-13_ses-02,13,2
TD13v3,sub-13_ses-03,13,3
TD14v1,sub-14_ses-01,14,1
TD14v2,sub-14_ses-02,14,2
TD14v3,sub-14_ses-03,14,3
TD15v1,sub-15_ses-01,15,1
TD15v2,sub-15_ses-02,15,2
TD15v3,sub-15_ses-03,15,3
TD17v1,sub-17_ses-01,17,1
TD17v2_noFC6,sub-17_ses-02,17,2
TD17v3,sub-17_ses-03,17,3
TD18v1,sub-18_ses-01,18,1
TD18v2,sub-18_ses-02,18,2
TD18v3_noFC6,sub-18_ses-03,18,3
TD19v2,sub-19_ses-02,19,2
TD19v3,sub-19_ses-03,19,3
TD20v1_noFC6,sub-20_ses-01,20,1
TD20v2,sub-20_ses-02,20,2
TD20v3,sub-20_ses-03,20,3
TD21v1_noFC6,sub-21_ses-01,21,1
TD21v2,sub-21_ses-02,21,2
TD21v3,sub-21_ses-03,21,3
TD22v1,sub-22_ses-01,22,1
TD22v2,sub-22_ses-02,22,2
TD22v3,sub-22_ses-03,22,3
TD22v4,sub-22_ses-04,22,4
TD23v1,sub-23_ses-01,23,1
TD23v2,sub-23_ses-02,23,2
TD23v3,sub-23_ses-03,23,3
TD24v1,sub-24_ses-01,24,1
TD24v2,sub-24_ses-02,24,2
TD24v3,sub-24_ses-03,24,3
TD25v1,sub-25_ses-01,25,1
TD25v2,sub-25_ses-02,25,2
TD25v3,sub-25_ses-03,25,3
TD25v4,sub-25_ses-04,25,4
